"model","date","area"
"FR",2014-06-02,30989.8861812391
"FR",2014-06-03,27312.9650008693
"FR",2014-06-04,28316.5585385881
"FR",2014-06-05,27379.0972883089
"FR",2014-06-06,24165.7812559389
"FR",2014-06-07,19800.5511131023
"FR",2014-06-08,18160.2646463274
"FR",2014-06-09,19217.1850899098
"FR",2014-06-10,23853.1525447285
"FR",2014-06-11,29650.0662961817
"FR",2014-06-12,33949.4604517174
"FR",2014-06-13,36626.5694324504
"FR",2014-06-14,38315.577252578
"FR",2014-06-15,39030.7687902289
"FR",2014-06-16,39177.4116701408
"FR",2014-06-17,40657.8288788335
"FR",2014-06-18,39469.1479804583
"FR",2014-06-19,36553.2045281609
"FR",2014-06-20,31886.405230205
"FR",2014-06-21,31724.5304056826
"FR",2014-06-22,31661.9507299503
"FR",2014-06-23,29937.8897172637
"FR",2014-06-24,26096.3129134463
"FR",2014-06-25,23611.1006263211
"FR",2014-06-26,21208.47996742
"FR",2014-06-27,19356.6742241447
"FR",2014-06-28,17082.9137553636
"FR",2014-06-29,12501.4896465192
"FR",2014-06-30,7160.19042949662
"FR",2014-07-01,2704.21466271501
"FR",2014-07-02,2370.81263535726
"FR",2014-07-03,7424.59014972369
"FR",2014-07-04,9734.46290800133
"FR",2014-07-05,10232.5640868293
"FR",2014-07-06,12143.8804092481
"FR",2014-07-07,19644.2775875685
"FR",2014-07-08,24785.1107847432
"FR",2014-07-09,33421.4512011588
"FR",2014-07-10,39417.5182606666
"FR",2014-07-11,43235.4572407145
"FR",2014-07-12,44784.2474896887
"FR",2014-07-13,36488.0065447373
"FR",2014-07-14,32293.7251236252
"FR",2014-07-15,26701.1687152404
"FR",2014-07-16,24197.6635911151
"FR",2014-07-17,25607.842888158
"FR",2014-07-18,31593.5923144866
"FR",2014-07-19,33248.0569709015
"FR",2014-07-20,36324.0841820162
"FR",2014-07-21,39420.2291316674
"FR",2014-07-22,45057.6503094644
"FR",2014-07-23,52269.7723124028
"FR",2014-07-24,50485.3603071849
"FR",2014-07-25,48694.1246382418
"FR",2014-07-26,45791.929333453
"FR",2014-07-27,39208.9708253616
"FR",2014-07-28,34640.7642466778
"FR",2014-07-29,31126.1153679665
"FR",2014-07-30,27816.6259401189
"FR",2014-07-31,24192.7006768971
"FR",2014-08-01,26565.5006993781
"FR",2014-08-02,29659.7773532929
"FR",2014-08-03,35292.4208641772
"FR",2014-08-04,42132.0526142817
"FR",2014-08-05,45198.1945199457
"FR",2014-08-06,44624.5308035929
"FR",2014-08-07,41690.9556306697
"FR",2014-08-08,33836.1039122469
"FR",2014-08-09,25622.910888099
"FR",2014-08-10,25434.3357143459
"FR",2014-08-11,17526.5712772449
"FR",2014-08-12,16234.9218903364
"FR",2014-08-13,16984.4805037704
"FR",2014-08-14,26041.8504298543
"FR",2014-08-15,37673.9623217014
"FR",2014-08-16,50732.3454622249
"FR",2014-08-17,63409.4703003027
"FR",2014-08-18,70565.4897991007
"FR",2014-08-19,70819.7981300453
"FR",2014-08-20,68632.2540835558
"FR",2014-08-21,64029.7123447194
"FR",2014-08-22,55433.6709268222
"FR",2014-08-23,50902.8371544242
"FR",2014-08-24,51187.8773335418
"FR",2014-08-25,51635.5052732784
"FR",2014-08-26,54126.8786355028
"FR",2014-08-27,49858.5760965637
"FR",2014-08-28,45950.3591294801
"FR",2014-08-29,40791.3771610939
"FR",2014-08-30,36106.0764221758
"FR",2014-08-31,29099.2907448352
"FR",2014-09-01,23911.9687786912
