YEID,Year,Date,DO,Depth,Temp,Salin,Source,lat,lon
2014_003,2014,2014-05-26,7.13,0.129,26.28,28.64,LUMCON,28.8682925648956,-90.4885009843852
2014_003,2014,2014-05-26,7.13,0.383,26.27,28.64,LUMCON,28.8682925648956,-90.4885009843852
2014_003,2014,2014-05-26,7.12,1.362,26.25,28.65,LUMCON,28.8682925648956,-90.4885009843852
2014_003,2014,2014-05-26,7.12,2.306,26.18,28.65,LUMCON,28.8682925648956,-90.4885009843852
2014_003,2014,2014-05-26,7.12,3.359,25.88,28.69,LUMCON,28.8682925648956,-90.4885009843852
2014_003,2014,2014-05-26,7.1,4.516,25.89,29.33,LUMCON,28.8682925648956,-90.4885009843852
2014_003,2014,2014-05-26,6.86,5.709,25.19,29.82,LUMCON,28.8682925648956,-90.4885009843852
2014_003,2014,2014-05-26,6.88,6.593,25.21,30.01,LUMCON,28.8682925648956,-90.4885009843852
2014_003,2014,2014-05-26,6.79,7.473,25.06,30.14,LUMCON,28.8682925648956,-90.4885009843852
2014_003,2014,2014-05-26,6.5,8.419,24.9,30.22,LUMCON,28.8682925648956,-90.4885009843852
2014_003,2014,2014-05-26,5.47,9.282,24.68,30.45,LUMCON,28.8682925648956,-90.4885009843852
2014_003,2014,2014-05-26,3.83,10.582,24.24,31.09,LUMCON,28.8682925648956,-90.4885009843852
2014_003,2014,2014-05-26,3.99,10.647,24.32,30.91,LUMCON,28.8682925648956,-90.4885009843852
2014_003,2014,2014-05-26,2.61,12.085,24.04,32.05,LUMCON,28.8682925648956,-90.4885009843852
2014_003,2014,2014-05-26,3.15,12.872,24.02,32.41,LUMCON,28.8682925648956,-90.4885009843852
2014_003,2014,2014-05-26,2.29,13.875,23.76,32.89,LUMCON,28.8682925648956,-90.4885009843852
2014_003,2014,2014-05-26,1.09,14.819,23.35,33.72,LUMCON,28.8682925648956,-90.4885009843852
2014_003,2014,2014-05-26,1.04,14.828,23.4,33.59,LUMCON,28.8682925648956,-90.4885009843852
2014_003,2014,2014-05-26,0.33,15.895,22.79,34.88,LUMCON,28.8682925648956,-90.4885009843852
2014_003,2014,2014-05-26,0.32,17.167,22.78,34.93,LUMCON,28.8682925648956,-90.4885009843852
2014_003,2014,2014-05-26,0.34,17.989,22.78,34.93,LUMCON,28.8682925648956,-90.4885009843852
2014_003,2014,2014-05-26,0.78,19.054,22.79,35,LUMCON,28.8682925648956,-90.4885009843852
2014_003,2014,2014-05-26,0.36,19.082,22.79,34.94,LUMCON,28.8682925648956,-90.4885009843852
2014_006,2014,2014-06-17,6.4763,1,28.3476,29.9952,SEAMAP,29.0509999999422,-94.498166669997
2014_006,2014,2014-06-17,6.47695,2,28.3479,29.9967,SEAMAP,29.0509999999422,-94.498166669997
2014_006,2014,2014-06-17,6.44774,3,28.3481,29.9976,SEAMAP,29.0509999999422,-94.498166669997
2014_006,2014,2014-06-17,6.44546,4,28.3444,29.999,SEAMAP,29.0509999999422,-94.498166669997
2014_006,2014,2014-06-17,6.42229,5,28.3495,30.0021,SEAMAP,29.0509999999422,-94.498166669997
2014_006,2014,2014-06-17,6.43029,6,28.3515,30.0022,SEAMAP,29.0509999999422,-94.498166669997
2014_006,2014,2014-06-17,6.42469,7,28.3517,30.0062,SEAMAP,29.0509999999422,-94.498166669997
2014_006,2014,2014-06-17,6.43302,8,28.352,30.0099,SEAMAP,29.0509999999422,-94.498166669997
2014_006,2014,2014-06-17,6.42627,9,28.3519,30.0132,SEAMAP,29.0509999999422,-94.498166669997
2014_006,2014,2014-06-17,6.42306,10,28.3519,30.0236,SEAMAP,29.0509999999422,-94.498166669997
2014_006,2014,2014-06-17,6.41302,11,28.3513,30.0376,SEAMAP,29.0509999999422,-94.498166669997
2014_006,2014,2014-06-17,6.39178,12,28.3172,30.1515,SEAMAP,29.0509999999422,-94.498166669997
2014_006,2014,2014-06-17,6.29974,13,28.1907,30.3801,SEAMAP,29.0509999999422,-94.498166669997
2014_006,2014,2014-06-17,5.58942,14,27.8801,30.6831,SEAMAP,29.0509999999422,-94.498166669997
2014_006,2014,2014-06-17,4.13667,15,25.9913,32.7352,SEAMAP,29.0509999999422,-94.498166669997
2014_007,2014,2014-06-17,6.30304,2,28.3921,28.3158,SEAMAP,29.0374999999688,-94.2979999999935
2014_007,2014,2014-06-17,6.30758,3,28.3984,28.3157,SEAMAP,29.0374999999688,-94.2979999999935
2014_007,2014,2014-06-17,6.30006,4,28.4222,28.3152,SEAMAP,29.0374999999688,-94.2979999999935
2014_007,2014,2014-06-17,6.29411,5,28.4129,28.3138,SEAMAP,29.0374999999688,-94.2979999999935
2014_007,2014,2014-06-17,6.29123,6,28.4006,28.3172,SEAMAP,29.0374999999688,-94.2979999999935
2014_007,2014,2014-06-17,6.21822,7,28.3915,28.3162,SEAMAP,29.0374999999688,-94.2979999999935
2014_007,2014,2014-06-17,6.16223,8,28.3148,28.4535,SEAMAP,29.0374999999688,-94.2979999999935
2014_007,2014,2014-06-17,6.05801,9,28.2279,28.5909,SEAMAP,29.0374999999688,-94.2979999999935
2014_007,2014,2014-06-17,5.79591,10,28.0379,28.9067,SEAMAP,29.0374999999688,-94.2979999999935
2014_007,2014,2014-06-17,4.82183,11,27.6226,29.5439,SEAMAP,29.0374999999688,-94.2979999999935
2014_007,2014,2014-06-17,3.31843,12,26.3646,31.49,SEAMAP,29.0374999999688,-94.2979999999935
2014_007,2014,2014-06-17,3.42982,13,26.3201,31.4983,SEAMAP,29.0374999999688,-94.2979999999935
2014_007,2014,2014-06-17,3.44767,14,26.3269,31.5021,SEAMAP,29.0374999999688,-94.2979999999935
2014_008,2014,2014-06-17,6.26476,2,28.0688,29.5788,SEAMAP,28.9898333299702,-94.5056666699981
2014_008,2014,2014-06-17,6.2763,3,28.0791,29.591,SEAMAP,28.9898333299702,-94.5056666699981
2014_008,2014,2014-06-17,6.28015,4,28.0786,29.5912,SEAMAP,28.9898333299702,-94.5056666699981
2014_008,2014,2014-06-17,6.28044,5,28.0852,29.602,SEAMAP,28.9898333299702,-94.5056666699981
2014_008,2014,2014-06-17,6.19808,6,28.0838,29.6426,SEAMAP,28.9898333299702,-94.5056666699981
